Post Date,Trans Date,Vendor,Location,Card Number,Amt,,,,,,,,,
1/29/2018,1/27/2018,FIVE POINTS SAN JOSE CA,San Jose CA,6385,($43.33),,,,,,,,,
1/29/2018,1/27/2018,FASTRAK CSC 415-486-8655 CA,CA,6385,($25.00),,,,,,,,,
1/29/2018,1/26/2018,SAN PEDRO SQUARE M SAN JOSE CA,San Jose CA,6385,($24.00),,,,,,,,,
1/29/2018,1/26/2018,SAN PEDRO SQUARE M SAN JOSE CA,San Jose CA,6385,($8.00),,,,,,,,,
1/29/2018,1/26/2018,URBANMOMO SAN JOSE CA,San Jose CA,6385,($14.10),,,,,,,,,
1/29/2018,1/26/2018,Amazon.com AMZN.COM/BILLWA,Online,1696,($35.46),,,,,,,,,
1/29/2018,1/25/2018,ELYSE RESTAURANT SAN JOSE CA,San Jose CA,1696,($57.88),,,,,,,,,
1/26/2018,1/26/2018,ATM CASH ADVANCE FEE,Fee,1696,($0.50),,,,,,,,,
1/26/2018,1/26/2018,ATM CASH ADVANCE FEE,Fee,1696,($0.50),,,,,,,,,
1/26/2018,1/26/2018,ATM CASH ADVANCE FEE,Fee,1696,($0.50),,,,,,,,,
1/26/2018,1/26/2018,ATM CASH ADVANCE FEE,Fee,1696,($0.50),,,,,,,,,
1/26/2018,1/25/2018,MCDONALD'S F21376 SANTA CLARA CA,Santa Clara CA,1696,($5.22),,,,,,,,,
1/26/2018,1/25/2018,COSTCO WHSE #0129 SANTA CLARA CA,Santa Clara CA,1696,($41.72),,,,,,,,,
1/26/2018,1/25/2018,LOSANGELESFCU/300 S GLENDGLENDALE CA,Glendale CA,1696,($82.99),,,,,,,,,
1/26/2018,1/25/2018,LOSANGELESFCU/300 S GLENDGLENDALE CA,Glendale CA,1696,($82.99),,,,,,,,,
1/26/2018,1/25/2018,LOSANGELESFCU/300 S GLENDGLENDALE CA,Glendale CA,1696,($142.99),,,,,,,,,
1/26/2018,1/25/2018,LOSANGELESFCU/300 S GLENDGLENDALE CA,Glendale CA,1696,($82.99),,,,,,,,,
1/25/2018,1/23/2018,TARGET 00020883 SAN JOSE CA,San Jose CA,1696,($34.28),,,,,,,,,
1/25/2018,1/23/2018,ARAMARK CISCO FOOD FOUNDRSAN JOSE CA,San Jose CA,1696,($7.42),,,,,,,,,
1/24/2018,1/22/2018,ARAMARK CISCO FOOD FOUNDRSAN JOSE CA,San Jose CA,1696,($3.50),,,,,,,,,
1/23/2018,1/22/2018,PAYPAL *R5LECAR 402-935-7733 CA,San Jose CA,1696,($39.99),,,,,,,,,
1/23/2018,1/22/2018,PAYPAL *CHANGHONGIN 402-935-7733 CA,Online,1696,($21.99),,,,,,,,,
1/22/2018,1/21/2018,OREILLY AUTO #3462 SAN JOSE CA,San Jose CA,1696,($109.64),,,,,,,,,
1/22/2018,1/19/2018,ARAMARK CISCO FOOD FOUNDRSAN JOSE CA,San Jose CA,1696,($7.42),,,,,,,,,
