Year,ID,State,Count_Breweries
1633,36,New York,4
1634,36,New York,1
1635,36,New York,1
1636,36,New York,1
1637,26,Michigan,1
1637,36,New York,1
1638,09,Connecticut,1
1638,36,New York,1
1639,44,Rhode Island,1
1640,33,New Hampshire,1
1641,26,Michigan,1
1642,36,New York,1
1643,36,New York,1
1644,36,New York,1
1645,36,New York,14
1646,36,New York,14
1647,36,New York,16
1648,34,New Jersey,1
1648,36,New York,14
1649,36,New York,15
1650,36,New York,19
1651,36,New York,15
1652,36,New York,15
1653,36,New York,16
1654,36,New York,16
1655,36,New York,17
1656,36,New York,16
1657,36,New York,16
1658,36,New York,16
1659,36,New York,16
1660,36,New York,16
1661,36,New York,15
1662,36,New York,15
1663,36,New York,15
1664,36,New York,15
1665,36,New York,16
1666,36,New York,15
1667,36,New York,15
1668,36,New York,15
1669,36,New York,15
1670,33,New Hampshire,1
1670,36,New York,15
1671,36,New York,4
1672,36,New York,4
1673,36,New York,4
1674,36,New York,4
1675,36,New York,4
1676,36,New York,3
1677,36,New York,3
1678,36,New York,3
1679,36,New York,3
1680,36,New York,3
1681,36,New York,3
1682,36,New York,3
1683,36,New York,3
1683,42,Pennsylvania,1
1684,36,New York,3
1685,36,New York,2
1685,42,Pennsylvania,1
1686,36,New York,2
1686,42,Pennsylvania,1
1687,36,New York,2
1687,42,Pennsylvania,2
1688,36,New York,2
1688,42,Pennsylvania,2
1689,36,New York,2
1689,42,Pennsylvania,2
1690,36,New York,2
1690,42,Pennsylvania,2
1691,36,New York,2
1691,42,Pennsylvania,2
1692,36,New York,2
1692,42,Pennsylvania,2
1693,36,New York,2
1693,42,Pennsylvania,2
1694,36,New York,2
1694,42,Pennsylvania,2
1695,36,New York,3
1695,42,Pennsylvania,2
1696,36,New York,1
1696,42,Pennsylvania,2
1697,36,New York,1
1697,42,Pennsylvania,2
1698,36,New York,2
1698,42,Pennsylvania,2
1699,36,New York,1
1699,42,Pennsylvania,2
1700,36,New York,2
1700,42,Pennsylvania,2
1701,36,New York,1
1701,42,Pennsylvania,1
1702,36,New York,3
1702,42,Pennsylvania,1
1703,25,Massachusetts,1
1703,36,New York,1
1703,42,Pennsylvania,1
1704,25,Massachusetts,1
1704,36,New York,1
1704,42,Pennsylvania,1
1705,25,Massachusetts,1
1705,36,New York,1
1705,42,Pennsylvania,1
1706,25,Massachusetts,1
1706,36,New York,1
1706,42,Pennsylvania,1
1707,25,Massachusetts,1
1707,36,New York,1
1707,42,Pennsylvania,1
1708,25,Massachusetts,1
1708,42,Pennsylvania,1
1709,25,Massachusetts,1
1709,42,Pennsylvania,1
1710,25,Massachusetts,1
1710,42,Pennsylvania,1
1711,25,Massachusetts,1
1711,42,Pennsylvania,1
1712,25,Massachusetts,1
1712,42,Pennsylvania,1
1713,25,Massachusetts,1
1713,42,Pennsylvania,1
1714,25,Massachusetts,1
1714,42,Pennsylvania,1
1715,25,Massachusetts,1
1715,42,Pennsylvania,1
1716,25,Massachusetts,1
1716,42,Pennsylvania,1
1717,36,New York,1
1717,42,Pennsylvania,1
1718,36,New York,1
1718,42,Pennsylvania,1
1719,36,New York,1
1719,42,Pennsylvania,1
1720,36,New York,1
1720,42,Pennsylvania,1
1721,36,New York,2
1721,42,Pennsylvania,1
1722,36,New York,1
1722,42,Pennsylvania,1
1723,36,New York,1
1723,42,Pennsylvania,1
1724,36,New York,3
1724,42,Pennsylvania,1
1725,36,New York,1
1725,42,Pennsylvania,1
1726,36,New York,1
1726,42,Pennsylvania,1
1727,36,New York,2
1727,42,Pennsylvania,1
1728,36,New York,1
1728,42,Pennsylvania,1
1729,36,New York,1
1729,42,Pennsylvania,1
1730,36,New York,1
1730,42,Pennsylvania,1
1731,36,New York,1
1731,42,Pennsylvania,1
1732,36,New York,2
1732,42,Pennsylvania,1
1733,36,New York,1
1733,42,Pennsylvania,1
1734,42,Pennsylvania,1
1735,42,Pennsylvania,1
1736,42,Pennsylvania,1
1737,42,Pennsylvania,1
1738,42,Pennsylvania,1
1739,42,Pennsylvania,1
1740,36,New York,1
1740,42,Pennsylvania,1
1741,42,Pennsylvania,1
1742,42,Pennsylvania,1
1743,42,Pennsylvania,1
1744,42,Pennsylvania,1
1745,42,Pennsylvania,1
1746,25,Massachusetts,2
1746,42,Pennsylvania,1
1747,25,Massachusetts,1
1747,42,Pennsylvania,1
1748,25,Massachusetts,2
1748,42,Pennsylvania,1
1749,25,Massachusetts,3
1749,42,Pennsylvania,2
1750,25,Massachusetts,3
1750,42,Pennsylvania,1
1751,25,Massachusetts,3
1751,42,Pennsylvania,1
1752,25,Massachusetts,3
1752,42,Pennsylvania,1
1753,25,Massachusetts,3
1753,36,New York,1
1753,42,Pennsylvania,1
1754,25,Massachusetts,3
1754,36,New York,1
1754,42,Pennsylvania,1
1755,25,Massachusetts,3
1755,36,New York,1
1755,42,Pennsylvania,1
1756,25,Massachusetts,3
1756,42,Pennsylvania,1
1757,25,Massachusetts,3
1757,42,Pennsylvania,1
1758,25,Massachusetts,4
1758,36,New York,1
1758,42,Pennsylvania,1
1759,25,Massachusetts,4
1759,36,New York,1
1759,42,Pennsylvania,1
1760,25,Massachusetts,4
1760,36,New York,1
1760,42,Pennsylvania,1
1761,25,Massachusetts,5
1761,36,New York,3
1761,42,Pennsylvania,1
1762,25,Massachusetts,5
1762,36,New York,1
1762,42,Pennsylvania,1
1763,25,Massachusetts,5
1763,42,Pennsylvania,2
1764,25,Massachusetts,6
1764,42,Pennsylvania,2
1765,18,Indiana,1
1765,25,Massachusetts,6
1765,42,Pennsylvania,2
1766,25,Massachusetts,6
1766,42,Pennsylvania,2
1767,25,Massachusetts,4
1767,42,Pennsylvania,2
1768,25,Massachusetts,4
1768,42,Pennsylvania,2
1769,25,Massachusetts,4
1769,36,New York,1
1769,42,Pennsylvania,2
1770,25,Massachusetts,4
1770,42,Pennsylvania,2
1771,25,Massachusetts,4
1771,33,New Hampshire,1
1771,42,Pennsylvania,2
1772,25,Massachusetts,5
1772,42,Pennsylvania,3
1773,25,Massachusetts,4
1773,42,Pennsylvania,3
1774,25,Massachusetts,4
1774,42,Pennsylvania,4
1775,25,Massachusetts,4
1775,42,Pennsylvania,4
1776,25,Massachusetts,4
1776,42,Pennsylvania,4
1777,25,Massachusetts,4
1777,42,Pennsylvania,4
1778,25,Massachusetts,4
1778,42,Pennsylvania,4
1779,25,Massachusetts,6
1779,42,Pennsylvania,4
